2023-12-19,06:05,Главный тренер сборной Украины назвал фаворитов чемпионской гонки АПЛ,https://championat.com//football/news-5363818-glavnyj-trener-sbornoj-ukrainy-nazval-favoritov-chempionskoj-gonki-apl.html
2023-12-19,05:53,«Челси» и «Манчестер Сити» запросили информацию о 17-летнем Клаудио Эчеверри,https://championat.com//football/news-5363810-chelsi-i-manchester-siti-zaprosili-informaciyu-o-17-letnem-klaudio-echeverri.html
2023-12-19,05:53,Довбик — в топ-10 игроков XXI века по скорости набора 10 голов в Ла Лиге,https://championat.com//football/news-5363806-dovbik-v-top-10-igrokov-xxi-veka-po-skorosti-nabora-desyati-golov-v-la-lige.html
2023-12-19,05:46,Украинский форвард Артём Довбик вырвался на второе место в списке бомбардиров Ла Лиги,https://championat.com//football/news-5363804-ukrainskij-forvard-artyom-dovbik-vyrvalsya-na-2-e-mesto-v-spiske-bombardirov-la-ligi.html
2023-12-19,05:41,Главный тренер сборной Украины высказался о будущем Цыганкова и Довбика,https://championat.com//football/news-5363802-glavnyj-trener-sbornoj-ukrainy-vyskazalsya-o-buduschem-cygankova-i-dovbika.html
2023-12-19,05:05,"Ивич рассказал, в чём причина успеха «Краснодара» в нынешнем сезоне",https://championat.com//football/news-5363790-ivich-rasskazal-v-chyom-prichina-uspeha-krasnodara-v-nyneshnem-sezone.html
2023-12-19,04:53,"Серхио Рамос поддержал защитника «Реала» Алабу, получившего серьёзную травму",https://championat.com//football/news-5363786-serhio-ramos-podderzhal-zaschitnika-reala-alabu-poluchivshego-seryoznuyu-travmu.html
2023-12-19,04:49,Люк Шоу назвал основную проблему «Манчестер Юнайтед» в нынешнем сезоне,https://championat.com//football/news-5363784-lyuk-shou-nazval-osnovnuyu-problemu-manchester-yunajted-v-nyneshnem-sezone.html
2023-12-19,04:46,Тони Кроос всерьёз рассматривает возможность вернуться в сборную Германии на Евро-2024,https://championat.com//football/news-5363782-toni-kroos-vseryoz-rassmatrivaet-vozmozhnost-vernutsya-v-sbornuyu-germanii-na-evro-2024.html
2023-12-19,04:39,Андрей Аршавин оценил выступления ЦСКА в текущем сезоне,https://championat.com//football/news-5363780-zachem-im-kogo-to-pokupat-arshavin-o-rezultatah-cska-v-tekuschem-sezone.html
2023-12-19,04:24,"Суарес: мы с Месси говорили Неймару, что его переход в «ПСЖ» был ошибкой",https://championat.com//football/news-5363778-suares-my-s-messi-govorili-nejmaru-chto-ego-perehod-v-pszh-byl-oshibkoj.html
2023-12-19,04:11,Аршавин назвал плюсы возможного возвращения РПЛ на систему «весна-осень»,https://championat.com//football/news-5363776-arshavin-nazval-plyusy-vozmozhnogo-vozvrascheniya-rpl-na-sistemu-vesna-osen.html
2023-12-19,03:57,Скалони рассказал о роли Месси в сборной Аргентины,https://championat.com//football/news-5363772-skaloni-rasskazal-o-roli-messi-v-sbornoj-argentiny.html
